ci_method,N,percent_missed,param_info
1,10,0.9048,0.01
1,100,0.3678,0.01
1,500,0.0064,0.01
1,1000,0,0.01
1,5000,0,0.01
1,10000,0,0.01
1,10,0.0021,0.5
1,100,0,0.5
1,500,0,0.5
1,1000,0,0.5
1,5000,0,0.5
1,10000,0,0.5
1,10,0.9045,0.99
1,100,0.3645,0.99
1,500,0.0055,0.99
1,1000,0,0.99
1,5000,0,0.99
1,10000,0,0.99
1,10,0.0025,[0,0.3]
1,100,0,[0,0.3]
1,500,0,[0,0.3]
1,1000,0,[0,0.3]
1,5000,0,[0,0.3]
1,10000,0,[0,0.3]
1,10,0.0016,[0.3,0.7]
1,100,0,[0.3,0.7]
1,500,0,[0.3,0.7]
1,1000,0,[0.3,0.7]
1,5000,0,[0.3,0.7]
1,10000,0,[0.3,0.7]
1,10,0.0025,[0.7,1]
1,100,0,[0.7,1]
1,500,0,[0.7,1]
1,1000,0,[0.7,1]
1,5000,0,[0.7,1]
1,10000,0,[0.7,1]
2,10,0.9046,0.01
2,100,0.9246,0.01
2,500,0.9998,0.01
2,1000,1,0.01
2,5000,1,0.01
2,10000,1,0.01
2,10,0.0017,0.5
2,100,0,0.5
2,500,0,0.5
2,1000,0,0.5
2,5000,0,0.5
2,10000,0,0.5
2,10,0.8986,0.99
2,100,0.7337,0.99
2,500,0.9702,0.99
2,1000,0.997,0.99
2,5000,1,0.99
2,10000,1,0.99
2,10,0.0021,[0,0.3]
2,100,0,[0,0.3]
2,500,0,[0,0.3]
2,1000,0,[0,0.3]
2,5000,0,[0,0.3]
2,10000,0,[0,0.3]
2,10,0.0025,[0.3,0.7]
2,100,0,[0.3,0.7]
2,500,0,[0.3,0.7]
2,1000,0,[0.3,0.7]
2,5000,0,[0.3,0.7]
2,10000,0,[0.3,0.7]
2,10,0.0022,[0.7,1]
2,100,0,[0.7,1]
2,500,0,[0.7,1]
2,1000,0,[0.7,1]
2,5000,0,[0.7,1]
2,10000,0,[0.7,1]
3,10,0.904,0.01
3,100,0.3692,0.01
3,500,0.1304,0.01
3,1000,0.0734,0.01
3,5000,0.0514,0.01
3,10000,0.0546,0.01
3,10,0.1069,0.5
3,100,0.0563,0.5
3,500,0.0556,0.5
3,1000,0.0547,0.5
3,5000,0.0488,0.5
3,10000,0.0541,0.5
3,10,0.9047,0.99
3,100,0.3596,0.99
3,500,0.1259,0.99
3,1000,0.0764,0.99
3,5000,0.0535,0.99
3,10000,0.0578,0.99
3,10,0.096,[0,0.3]
3,100,0.0533,[0,0.3]
3,500,0.0524,[0,0.3]
3,1000,0.0514,[0,0.3]
3,5000,0.0513,[0,0.3]
3,10000,0.0497,[0,0.3]
3,10,0.0926,[0.3,0.7]
3,100,0.0559,[0.3,0.7]
3,500,0.0486,[0.3,0.7]
3,1000,0.0502,[0.3,0.7]
3,5000,0.0476,[0.3,0.7]
3,10000,0.0512,[0.3,0.7]
3,10,0.1018,[0.7,1]
3,100,0.0589,[0.7,1]
3,500,0.0536,[0.7,1]
3,1000,0.0522,[0.7,1]
3,5000,0.0489,[0.7,1]
3,10000,0.0452,[0.7,1]
4,10,1,0.01
4,100,1,0.01
4,500,1,0.01
4,1000,1,0.01
4,5000,1,0.01
4,10000,1,0.01
4,10,0,0.5
4,100,0,0.5
4,500,0,0.5
4,1000,0,0.5
4,5000,0,0.5
4,10000,0,0.5
4,10,1,0.99
4,100,1,0.99
4,500,1,0.99
4,1000,1,0.99
4,5000,1,0.99
4,10000,1,0.99
4,10,0,[0,0.3]
4,100,0,[0,0.3]
4,500,0,[0,0.3]
4,1000,0,[0,0.3]
4,5000,0,[0,0.3]
4,10000,0,[0,0.3]
4,10,0,[0.3,0.7]
4,100,0,[0.3,0.7]
4,500,0,[0.3,0.7]
4,1000,0,[0.3,0.7]
4,5000,0,[0.3,0.7]
4,10000,0,[0.3,0.7]
